i,a,f(a),b,f(b),x* = (a+b)/2,f(x*),|b - a| < e
0,1,0.8414709848078965,2,-0.09070257317431829,1.5,0.7474949866040544,False
1,1.5,0.7474949866040544,2,-0.09070257317431829,1.75,0.4214859468739369,False
2,1.75,0.4214859468739369,2,-0.09070257317431829,1.875,0.18846078160969382,False
3,1.875,0.18846078160969382,2,-0.09070257317431829,1.9375,0.0546080308623762,False
4,1.9375,0.0546080308623762,2,-0.09070257317431829,1.96875,-0.01662062031427225,False
5,1.9375,0.0546080308623762,1.96875,-0.01662062031427225,1.953125,0.019351100231315588,False
6,1.953125,0.019351100231315588,1.96875,-0.01662062031427225,1.9609375,0.0014544993174747667,False
7,1.9609375,0.0014544993174747667,1.96875,-0.01662062031427225,1.96484375,-0.007560757019922981,False
8,1.9609375,0.0014544993174747667,1.96484375,-0.007560757019922981,1.962890625,-0.003047551553039929,False
9,1.9609375,0.0014544993174747667,1.962890625,-0.003047551553039929,1.9619140625,-0.0007951316154010124,False
10,1.9609375,0.0014544993174747667,1.9619140625,-0.0007951316154010124,1.96142578125,0.0003300324988158021,False
11,1.96142578125,0.0003300324988158021,1.9619140625,-0.0007951316154010124,1.961669921875,-0.00023246239911878241,False
12,1.96142578125,0.0003300324988158021,1.961669921875,-0.00023246239911878241,1.9615478515625,4.88068399884245e-05,False
13,1.9615478515625,4.88068399884245e-05,1.961669921875,-0.00023246239911878241,1.96160888671875,-9.182233207349899e-05,False
14,1.9615478515625,4.88068399884245e-05,1.96160888671875,-9.182233207349899e-05,1.961578369140625,-2.1506384164204917e-05,True
